root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:15.976374 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34060:34216, ack 1, win 501, length 156
15:45:15.976597 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34216:34372, ack 1, win 501, length 156
15:45:15.976840 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34372:34528, ack 1, win 501, length 156
15:45:15.977050 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34528:34684, ack 1, win 501, length 156
15:45:15.977266 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34684:34840, ack 1, win 501, length 156
15:45:15.977442 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34840:34996, ack 1, win 501, length 156
15:45:15.977651 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 34996:35152, ack 1, win 501, length 156
15:45:15.977849 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 35152:35308, ack 1, win 501, length 156
15:45:15.978050 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 35308:35464, ack 1, win 501, length 156
15:45:15.978267 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 35464:35620, ack 1, win 501, length 156
15:45:15.978485 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 35620:35776, ack 1, win 501, length 156
15:45:15.978680 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 35776:35932, ack 1, win 501, length 156
15:45:15.978940 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 35932:36088, ack 1, win 501, length 156
15:45:15.979178 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 36088:36244, ack 1, win 501, length 156
15:45:15.979396 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 36244:36400, ack 1, win 501, length 156
15:45:15.979632 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 36400:36556, ack 1, win 501, length 156
15:45:15.979835 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 36556:36712, ack 1, win 501, length 156
15:45:15.980033 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 36712:36868, ack 1, win 501, length 156
15:45:15.980219 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 36868:37024, ack 1, win 501, length 156
15:45:15.980404 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 37024:37180, ack 1, win 501, length 156
15:45:15.980579 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 37180:37336, ack 1, win 501, length 156
15:45:15.980728 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 27924, win 18774, length 0
15:45:15.980842 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 37336:37492, ack 1, win 501, length 156
15:45:15.981073 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 37492:37752, ack 1, win 501, length 260
15:45:15.981279 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 37752:37908, ack 1, win 501, length 156
15:45:15.981447 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 37908:38064, ack 1, win 501, length 156
15:45:15.981612 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 38064:38220, ack 1, win 501, length 156
15:45:15.981806 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 38220:38376, ack 1, win 501, length 156
15:45:15.981978 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 38376:38532, ack 1, win 501, length 156
15:45:15.982147 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 38532:38688, ack 1, win 501, length 156
15:45:15.982335 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 38688:38844, ack 1, win 501, length 156
15:45:15.982506 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 38844:39000, ack 1, win 501, length 156
15:45:15.982692 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39000:39156, ack 1, win 501, length 156
15:45:15.982866 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39156:39312, ack 1, win 501, length 156
15:45:15.983064 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39312:39468, ack 1, win 501, length 156
15:45:15.983234 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39468:39624, ack 1, win 501, length 156
15:45:15.983397 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39624:39780, ack 1, win 501, length 156
15:45:15.983559 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39780:39936, ack 1, win 501, length 156
15:45:15.983766 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 39936:40092, ack 1, win 501, length 156
15:45:15.983958 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 40092:40248, ack 1, win 501, length 156
15:45:15.984124 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 40248:40404, ack 1, win 501, length 156
15:45:15.984204 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 31616, win 18773, length 0
15:45:15.984248 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 34528, win 18774, length 0
15:45:15.984457 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 40404:40768, ack 1, win 501, length 364
15:45:15.984636 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 40768:40924, ack 1, win 501, length 156
15:45:15.984825 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 40924:41080, ack 1, win 501, length 156
15:45:15.985010 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 41080:41236, ack 1, win 501, length 156
15:45:15.985210 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 41236:41392, ack 1, win 501, length 156
15:45:15.985390 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 41392:41548, ack 1, win 501, length 156
15:45:15.985562 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 41548:41704, ack 1, win 501, length 156
15:45:15.985760 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 41704:41860, ack 1, win 501, length 156
15:45:15.985950 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 41860:42016, ack 1, win 501, length 156
15:45:15.986142 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42016:42172, ack 1, win 501, length 156
15:45:15.986342 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42172:42328, ack 1, win 501, length 156
15:45:15.986537 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42328:42484, ack 1, win 501, length 156
15:45:15.986751 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42484:42640, ack 1, win 501, length 156
15:45:15.986952 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42640:42796, ack 1, win 501, length 156
15:45:15.987178 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42796:42952, ack 1, win 501, length 156
15:45:15.987389 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 42952:43108, ack 1, win 501, length 156
15:45:15.987578 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 43108:43264, ack 1, win 501, length 156
15:45:15.987825 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 43264:43420, ack 1, win 501, length 156
15:45:15.988034 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 43420:43576, ack 1, win 501, length 156
15:45:15.988224 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 43576:43732, ack 1, win 501, length 156
15:45:15.988412 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 43732:43888, ack 1, win 501, length 156
15:45:15.988619 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 43888:44044, ack 1, win 501, length 156
15:45:15.988825 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44044:44200, ack 1, win 501, length 156
15:45:15.989025 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44200:44356, ack 1, win 501, length 156
15:45:15.989221 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44356:44512, ack 1, win 501, length 156
15:45:15.989448 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44512:44668, ack 1, win 501, length 156
15:45:15.989639 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44668:44824, ack 1, win 501, length 156
15:45:15.989877 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44824:44980, ack 1, win 501, length 156
15:45:15.990103 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 44980:45136, ack 1, win 501, length 156
15:45:15.990292 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 45136:45292, ack 1, win 501, length 156
15:45:15.990497 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 45292:45448, ack 1, win 501, length 156
15:45:15.990684 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 45448:45604, ack 1, win 501, length 156
15:45:15.990903 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 45604:45760, ack 1, win 501, length 156
15:45:15.991189 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 45760:45916, ack 1, win 501, length 156
15:45:15.991391 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 45916:46072, ack 1, win 501, length 156
15:45:15.991585 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 46072:46228, ack 1, win 501, length 156
15:45:15.991904 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 46228:46384, ack 1, win 501, length 156
15:45:15.992111 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 46384:46540, ack 1, win 501, length 156
15:45:15.992308 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 46540:46696, ack 1, win 501, length 156
15:45:15.992509 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 46696:46852, ack 1, win 501, length 156
15:45:15.992708 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 46852:47008, ack 1, win 501, length 156
15:45:15.992907 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 47008:47164, ack 1, win 501, length 156
15:45:15.993068 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [P.], seq 1:37, ack 36400, win 18773, length 36
15:45:15.993114 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 36400, win 18773, length 0
15:45:15.993316 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 47164:47536, ack 37, win 501, length 372
15:45:15.993518 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 47536:47692, ack 37, win 501, length 156
15:45:15.993718 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 47692:47848, ack 37, win 501, length 156
15:45:15.993910 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 47848:48004, ack 37, win 501, length 156
15:45:15.994107 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48004:48160, ack 37, win 501, length 156
15:45:15.994300 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48160:48316, ack 37, win 501, length 156
15:45:15.994491 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48316:48472, ack 37, win 501, length 156
15:45:15.994701 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48472:48628, ack 37, win 501, length 156
15:45:15.994966 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48628:48784, ack 37, win 501, length 156
15:45:15.995213 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48784:48940, ack 37, win 501, length 156
15:45:15.995897 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 48940:49096, ack 37, win 501, length 156
15:45:15.996131 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 49096:49252, ack 37, win 501, length 156
15:45:15.996363 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 49252:49408, ack 37, win 501, length 156
15:45:15.996588 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 49408:49564, ack 37, win 501, length 156
15:45:15.996752 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 40404, win 18773, length 0
15:45:15.996810 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 45136, win 18774, length 0
15:45:15.997037 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 49564:49928, ack 37, win 501, length 364
15:45:15.997245 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 49928:50084, ack 37, win 501, length 156
15:45:15.997454 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 50084:50240, ack 37, win 501, length 156
15:45:15.997656 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 50240:50396, ack 37, win 501, length 156
15:45:15.997861 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 50396:50552, ack 37, win 501, length 156
15:45:15.998057 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 50552:50708, ack 37, win 501, length 156
15:45:15.998254 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 50708:50864, ack 37, win 501, length 156
15:45:15.998489 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 50864:51020, ack 37, win 501, length 156
15:45:15.998684 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51020:51176, ack 37, win 501, length 156
15:45:15.998905 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51176:51332, ack 37, win 501, length 156
15:45:15.999143 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51332:51488, ack 37, win 501, length 156
15:45:15.999345 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51488:51644, ack 37, win 501, length 156
15:45:15.999526 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51644:51800, ack 37, win 501, length 156
15:45:15.999797 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51800:51956, ack 37, win 501, length 156
15:45:16.000009 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 51956:52112, ack 37, win 501, length 156
15:45:16.000330 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 52112:52268, ack 37, win 501, length 156
15:45:16.000542 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 52268:52424, ack 37, win 501, length 156
15:45:16.000750 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 52424:52580, ack 37, win 501, length 156
15:45:16.000945 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 52580:52736, ack 37, win 501, length 156
15:45:16.001146 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 52736:52892, ack 37, win 501, length 156
15:45:16.001339 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 52892:53048, ack 37, win 501, length 156
15:45:16.001538 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53048:53204, ack 37, win 501, length 156
15:45:16.001741 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53204:53360, ack 37, win 501, length 156
15:45:16.001948 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53360:53516, ack 37, win 501, length 156
15:45:16.002187 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53516:53672, ack 37, win 501, length 156
15:45:16.002387 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53672:53828, ack 37, win 501, length 156
15:45:16.002583 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53828:53984, ack 37, win 501, length 156
15:45:16.002778 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 53984:54140, ack 37, win 501, length 156
15:45:16.002980 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 54140:54296, ack 37, win 501, length 156
15:45:16.003202 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 54296:54452, ack 37, win 501, length 156
15:45:16.003392 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 54452:54608, ack 37, win 501, length 156
15:45:16.003628 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 54608:54764, ack 37, win 501, length 156
15:45:16.003824 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 54764:54920, ack 37, win 501, length 156
15:45:16.004016 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 54920:55076, ack 37, win 501, length 156
15:45:16.004216 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55076:55232, ack 37, win 501, length 156
15:45:16.004406 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55232:55388, ack 37, win 501, length 156
15:45:16.004591 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55388:55544, ack 37, win 501, length 156
15:45:16.004791 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 48784, win 18772, length 0
15:45:16.004970 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55544:55700, ack 37, win 501, length 156
15:45:16.005147 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55700:55840, ack 37, win 501, length 140
15:45:16.005244 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55840:55996, ack 37, win 501, length 156
15:45:16.005460 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 55996:56272, ack 37, win 501, length 276
15:45:16.005674 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 56272:56428, ack 37, win 501, length 156
15:45:16.005883 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 56428:56584, ack 37, win 501, length 156
15:45:16.006093 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 56584:56740, ack 37, win 501, length 156
15:45:16.006303 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 56740:56896, ack 37, win 501, length 156
15:45:16.006501 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 56896:57052, ack 37, win 501, length 156
15:45:16.006693 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57052:57208, ack 37, win 501, length 156
15:45:16.006940 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57208:57364, ack 37, win 501, length 156
15:45:16.007192 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57364:57520, ack 37, win 501, length 156
15:45:16.007397 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57520:57676, ack 37, win 501, length 156
15:45:16.007639 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57676:57832, ack 37, win 501, length 156
15:45:16.007867 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57832:57988, ack 37, win 501, length 156
15:45:16.008070 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 57988:58144, ack 37, win 501, length 156
15:45:16.008272 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 58144:58300, ack 37, win 501, length 156
15:45:16.008602 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 58300:58456, ack 37, win 501, length 156
15:45:16.008811 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 58456:58612, ack 37, win 501, length 156
15:45:16.009008 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 58612:58768, ack 37, win 501, length 156
15:45:16.009195 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 58768:58924, ack 37, win 501, length 156
15:45:16.009389 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 58924:59080, ack 37, win 501, length 156
15:45:16.009585 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 59080:59236, ack 37, win 501, length 156
15:45:16.009786 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 59236:59392, ack 37, win 501, length 156
15:45:16.009959 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 59392:59548, ack 37, win 501, length 156
15:45:16.010151 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 59548:59704, ack 37, win 501, length 156
15:45:16.010355 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 59704:59860, ack 37, win 501, length 156
15:45:16.010552 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 59860:60016, ack 37, win 501, length 156
15:45:16.010766 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 60016:60172, ack 37, win 501, length 156
15:45:16.010969 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 60172:60328, ack 37, win 501, length 156
15:45:16.011208 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 60328:60484, ack 37, win 501, length 156
15:45:16.011399 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 60484:60640, ack 37, win 501, length 156
15:45:16.011583 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 60640:60796, ack 37, win 501, length 156
15:45:16.011834 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 60796:60952, ack 37, win 501, length 156
